"region_id","score","dimension","indicator","scen_year"
"BHI-010",0.061,"trend","secchi",2020
"BHI-011",0.161,"trend","secchi",2020
"BHI-012",0.161,"trend","secchi",2020
"BHI-013",0.161,"trend","secchi",2020
"BHI-014",0.17,"trend","secchi",2020
"BHI-015",0.17,"trend","secchi",2020
"BHI-016",0.17,"trend","secchi",2020
"BHI-017",0.17,"trend","secchi",2020
"BHI-018",-0.085,"trend","secchi",2020
"BHI-019",-0.085,"trend","secchi",2020
"BHI-020",-0.078,"trend","secchi",2020
"BHI-021",-0.078,"trend","secchi",2020
"BHI-022",-0.078,"trend","secchi",2020
"BHI-023",-0.078,"trend","secchi",2020
"BHI-024",-0.078,"trend","secchi",2020
"BHI-025",-0.078,"trend","secchi",2020
"BHI-026",-0.048,"trend","secchi",2020
"BHI-027",-0.119,"trend","secchi",2020
"BHI-028",-0.119,"trend","secchi",2020
"BHI-029",0.021,"trend","secchi",2020
"BHI-030",0.021,"trend","secchi",2020
"BHI-031",0.021,"trend","secchi",2020
"BHI-032",-0.04,"trend","secchi",2020
"BHI-033",-0.04,"trend","secchi",2020
"BHI-034",-0.04,"trend","secchi",2020
"BHI-037",0.056,"trend","secchi",2020
"BHI-038",0.056,"trend","secchi",2020
"BHI-039",-0.038,"trend","secchi",2020
"BHI-040",-0.038,"trend","secchi",2020
"BHI-041",0.052,"trend","secchi",2020
"BHI-042",0.052,"trend","secchi",2020
"BHI-035",NA,"trend","secchi",2020
"BHI-036",NA,"trend","secchi",2020
"BHI-043",NA,"trend","secchi",2020
"region_id","score","dimension","indicator","scen_year"
"BHI-001",100,"status","secchi",2020
"BHI-002",100,"status","secchi",2020
"BHI-003",87.66,"status","secchi",2020
"BHI-005",100,"status","secchi",2020
"BHI-006",100,"status","secchi",2020
"BHI-007",92.12,"status","secchi",2020
"BHI-008",92.12,"status","secchi",2020
"BHI-009",76.29,"status","secchi",2020
"BHI-010",76.29,"status","secchi",2020
"BHI-011",95.76,"status","secchi",2020
"BHI-012",95.76,"status","secchi",2020
"BHI-013",95.76,"status","secchi",2020
"BHI-014",92.03,"status","secchi",2020
"BHI-015",92.03,"status","secchi",2020
"BHI-016",92.03,"status","secchi",2020
"BHI-017",92.03,"status","secchi",2020
"BHI-018",87.52,"status","secchi",2020
"BHI-019",87.52,"status","secchi",2020
"BHI-020",74.66,"status","secchi",2020
"BHI-021",74.66,"status","secchi",2020
"BHI-022",74.66,"status","secchi",2020
"BHI-023",74.66,"status","secchi",2020
"BHI-024",74.66,"status","secchi",2020
"BHI-025",74.66,"status","secchi",2020
"BHI-026",63.08,"status","secchi",2020
"BHI-027",74,"status","secchi",2020
"BHI-028",74,"status","secchi",2020
"BHI-029",71.33,"status","secchi",2020
"BHI-030",71.33,"status","secchi",2020
"BHI-031",71.33,"status","secchi",2020
"BHI-032",77.45,"status","secchi",2020
"BHI-033",77.45,"status","secchi",2020
"BHI-034",77.45,"status","secchi",2020
"BHI-035",NA,"status","secchi",2020
"BHI-036",NA,"status","secchi",2020
"BHI-037",83.31,"status","secchi",2020
"BHI-038",83.31,"status","secchi",2020
"BHI-039",87.36,"status","secchi",2020
"BHI-040",87.36,"status","secchi",2020
"BHI-041",87.68,"status","secchi",2020
"BHI-042",87.68,"status","secchi",2020
"BHI-043",NA,"status","secchi",2020
"BHI-001",-0.132,"trend","secchi",2020
"BHI-002",-0.132,"trend","secchi",2020
"BHI-003",0.159,"trend","secchi",2020
"BHI-005",-0.063,"trend","secchi",2020
"BHI-006",-0.063,"trend","secchi",2020
"BHI-007",0.098,"trend","secchi",2020
"BHI-008",0.098,"trend","secchi",2020
"BHI-009",0.061,"trend","secchi",2020
"BHI-010",0.061,"trend","secchi",2020
"BHI-011",0.161,"trend","secchi",2020
"BHI-012",0.161,"trend","secchi",2020
"BHI-013",0.161,"trend","secchi",2020
"BHI-014",0.17,"trend","secchi",2020
"BHI-015",0.17,"trend","secchi",2020
"BHI-016",0.17,"trend","secchi",2020
"BHI-017",0.17,"trend","secchi",2020
"BHI-018",-0.085,"trend","secchi",2020
"BHI-019",-0.085,"trend","secchi",2020
"BHI-020",-0.078,"trend","secchi",2020
"BHI-021",-0.078,"trend","secchi",2020
"BHI-022",-0.078,"trend","secchi",2020
"BHI-023",-0.078,"trend","secchi",2020
"BHI-024",-0.078,"trend","secchi",2020
"BHI-025",-0.078,"trend","secchi",2020
"BHI-026",-0.048,"trend","secchi",2020
"BHI-027",-0.119,"trend","secchi",2020
"BHI-028",-0.119,"trend","secchi",2020
"BHI-029",0.021,"trend","secchi",2020
"BHI-030",0.021,"trend","secchi",2020
"BHI-031",0.021,"trend","secchi",2020
"BHI-032",-0.04,"trend","secchi",2020
"BHI-033",-0.04,"trend","secchi",2020
"BHI-034",-0.04,"trend","secchi",2020
"BHI-037",0.056,"trend","secchi",2020
"BHI-038",0.056,"trend","secchi",2020
"BHI-039",-0.038,"trend","secchi",2020
"BHI-040",-0.038,"trend","secchi",2020
"BHI-041",0.052,"trend","secchi",2020
"BHI-042",0.052,"trend","secchi",2020
"BHI-035",NA,"trend","secchi",2020
"BHI-036",NA,"trend","secchi",2020
"BHI-043",NA,"trend","secchi",2020
"region_id","score","dimension","indicator","scen_year"
"BHI-001",100,"status","secchi",2020
"BHI-002",100,"status","secchi",2020
"BHI-003",87.66,"status","secchi",2020
"BHI-005",100,"status","secchi",2020
"BHI-006",100,"status","secchi",2020
"BHI-007",92.12,"status","secchi",2020
"BHI-008",92.12,"status","secchi",2020
"BHI-009",76.29,"status","secchi",2020
"BHI-010",76.29,"status","secchi",2020
"BHI-011",95.76,"status","secchi",2020
"BHI-012",95.76,"status","secchi",2020
"BHI-013",95.76,"status","secchi",2020
"BHI-014",92.03,"status","secchi",2020
"BHI-015",92.03,"status","secchi",2020
"BHI-016",92.03,"status","secchi",2020
"BHI-017",92.03,"status","secchi",2020
"BHI-018",87.52,"status","secchi",2020
"BHI-019",87.52,"status","secchi",2020
"BHI-020",74.66,"status","secchi",2020
"BHI-021",74.66,"status","secchi",2020
"BHI-022",74.66,"status","secchi",2020
"BHI-023",74.66,"status","secchi",2020
"BHI-024",74.66,"status","secchi",2020
"BHI-025",74.66,"status","secchi",2020
"BHI-026",63.08,"status","secchi",2020
"BHI-027",74,"status","secchi",2020
"BHI-028",74,"status","secchi",2020
"BHI-029",71.33,"status","secchi",2020
"BHI-030",71.33,"status","secchi",2020
"BHI-031",71.33,"status","secchi",2020
"BHI-032",77.45,"status","secchi",2020
"BHI-033",77.45,"status","secchi",2020
"BHI-034",77.45,"status","secchi",2020
"BHI-035",NA,"status","secchi",2020
"BHI-036",NA,"status","secchi",2020
"BHI-037",83.31,"status","secchi",2020
"BHI-038",83.31,"status","secchi",2020
"BHI-039",87.36,"status","secchi",2020
"BHI-040",87.36,"status","secchi",2020
"BHI-041",87.68,"status","secchi",2020
"BHI-042",87.68,"status","secchi",2020
"BHI-043",NA,"status","secchi",2020
"BHI-001",-0.132,"trend","secchi",2020
"BHI-002",-0.132,"trend","secchi",2020
"BHI-003",0.159,"trend","secchi",2020
"BHI-005",-0.063,"trend","secchi",2020
"BHI-006",-0.063,"trend","secchi",2020
"BHI-007",0.098,"trend","secchi",2020
"BHI-008",0.098,"trend","secchi",2020
"BHI-009",0.061,"trend","secchi",2020
"BHI-010",0.061,"trend","secchi",2020
"BHI-011",0.161,"trend","secchi",2020
"BHI-012",0.161,"trend","secchi",2020
"BHI-013",0.161,"trend","secchi",2020
"BHI-014",0.17,"trend","secchi",2020
"BHI-015",0.17,"trend","secchi",2020
"BHI-016",0.17,"trend","secchi",2020
"BHI-017",0.17,"trend","secchi",2020
"BHI-018",-0.085,"trend","secchi",2020
"BHI-019",-0.085,"trend","secchi",2020
"BHI-020",-0.078,"trend","secchi",2020
"BHI-021",-0.078,"trend","secchi",2020
"BHI-022",-0.078,"trend","secchi",2020
"BHI-023",-0.078,"trend","secchi",2020
"BHI-024",-0.078,"trend","secchi",2020
"BHI-025",-0.078,"trend","secchi",2020
"BHI-026",-0.048,"trend","secchi",2020
"BHI-027",-0.119,"trend","secchi",2020
"BHI-028",-0.119,"trend","secchi",2020
"BHI-029",0.021,"trend","secchi",2020
"BHI-030",0.021,"trend","secchi",2020
"BHI-031",0.021,"trend","secchi",2020
"BHI-032",-0.04,"trend","secchi",2020
"BHI-033",-0.04,"trend","secchi",2020
"BHI-034",-0.04,"trend","secchi",2020
"BHI-037",0.056,"trend","secchi",2020
"BHI-038",0.056,"trend","secchi",2020
"BHI-039",-0.038,"trend","secchi",2020
"BHI-040",-0.038,"trend","secchi",2020
"BHI-041",0.052,"trend","secchi",2020
"BHI-042",0.052,"trend","secchi",2020
"BHI-035",NA,"trend","secchi",2020
"BHI-036",NA,"trend","secchi",2020
"BHI-043",NA,"trend","secchi",2020
"region_id","score","dimension","indicator","scen_year"
"BHI-001",100,"status","secchi",2020
"BHI-002",100,"status","secchi",2020
"BHI-003",87.66,"status","secchi",2020
"BHI-005",100,"status","secchi",2020
"BHI-006",100,"status","secchi",2020
"BHI-007",92.12,"status","secchi",2020
"BHI-008",92.12,"status","secchi",2020
"BHI-009",76.29,"status","secchi",2020
"BHI-010",76.29,"status","secchi",2020
"BHI-011",95.76,"status","secchi",2020
"BHI-012",95.76,"status","secchi",2020
"BHI-013",95.76,"status","secchi",2020
"BHI-014",92.03,"status","secchi",2020
"BHI-015",92.03,"status","secchi",2020
"BHI-016",92.03,"status","secchi",2020
"BHI-017",92.03,"status","secchi",2020
"BHI-018",87.52,"status","secchi",2020
"BHI-019",87.52,"status","secchi",2020
"BHI-020",74.66,"status","secchi",2020
"BHI-021",74.66,"status","secchi",2020
"BHI-022",74.66,"status","secchi",2020
"BHI-023",74.66,"status","secchi",2020
"BHI-024",74.66,"status","secchi",2020
"BHI-025",74.66,"status","secchi",2020
"BHI-026",63.08,"status","secchi",2020
"BHI-027",74,"status","secchi",2020
"BHI-028",74,"status","secchi",2020
"BHI-029",71.33,"status","secchi",2020
"BHI-030",71.33,"status","secchi",2020
"BHI-031",71.33,"status","secchi",2020
"BHI-032",77.45,"status","secchi",2020
"BHI-033",77.45,"status","secchi",2020
"BHI-034",77.45,"status","secchi",2020
"BHI-035",NA,"status","secchi",2020
"BHI-036",NA,"status","secchi",2020
"BHI-037",83.31,"status","secchi",2020
"BHI-038",83.31,"status","secchi",2020
"BHI-039",87.36,"status","secchi",2020
"BHI-040",87.36,"status","secchi",2020
"BHI-041",87.68,"status","secchi",2020
"BHI-042",87.68,"status","secchi",2020
"BHI-043",NA,"status","secchi",2020
"BHI-001",-0.132,"trend","secchi",2020
"BHI-002",-0.132,"trend","secchi",2020
"BHI-003",0.159,"trend","secchi",2020
"BHI-005",-0.063,"trend","secchi",2020
"BHI-006",-0.063,"trend","secchi",2020
"BHI-007",0.098,"trend","secchi",2020
"BHI-008",0.098,"trend","secchi",2020
"BHI-009",0.061,"trend","secchi",2020
"BHI-010",0.061,"trend","secchi",2020
"BHI-011",0.161,"trend","secchi",2020
"BHI-012",0.161,"trend","secchi",2020
"BHI-013",0.161,"trend","secchi",2020
